,Unnamed: 0.1,Unnamed: 0,S/N,Images,Label,Stress?
0,0,0,0,Database/basic/Image/aligned/test/test_0001_aligned.jpg,5,1
1,1,1,1,Database/basic/Image/aligned/test/test_0002_aligned.jpg,1,0
2,2,2,2,Database/basic/Image/aligned/test/test_0003_aligned.jpg,4,0
3,3,3,3,Database/basic/Image/aligned/test/test_0004_aligned.jpg,1,0
4,4,4,4,Database/basic/Image/aligned/test/test_0005_aligned.jpg,5,1
5,5,5,5,Database/basic/Image/aligned/test/test_0006_aligned.jpg,5,1
6,6,6,6,Database/basic/Image/aligned/test/test_0007_aligned.jpg,3,1
7,7,7,7,Database/basic/Image/aligned/test/test_0008_aligned.jpg,1,0
8,8,8,8,Database/basic/Image/aligned/test/test_0009_aligned.jpg,4,0
9,9,9,9,Database/basic/Image/aligned/test/test_0010_aligned.jpg,4,0
10,10,10,10,Database/basic/Image/aligned/test/test_0011_aligned.jpg,3,1
11,11,11,11,Database/basic/Image/aligned/test/test_0012_aligned.jpg,4,0
12,12,12,12,Database/basic/Image/aligned/test/test_0013_aligned.jpg,4,0
13,13,13,13,Database/basic/Image/aligned/test/test_0014_aligned.jpg,4,0
14,14,14,14,Database/basic/Image/aligned/test/test_0015_aligned.jpg,1,0
15,15,15,15,Database/basic/Image/aligned/test/test_0016_aligned.jpg,4,0
16,16,16,16,Database/basic/Image/aligned/test/test_0017_aligned.jpg,6,1
17,17,17,17,Database/basic/Image/aligned/test/test_0018_aligned.jpg,3,1
18,18,18,18,Database/basic/Image/aligned/test/test_0019_aligned.jpg,4,0
19,19,19,19,Database/basic/Image/aligned/test/test_0020_aligned.jpg,4,0
20,20,20,20,Database/basic/Image/aligned/test/test_0021_aligned.jpg,4,0
21,21,21,21,Database/basic/Image/aligned/test/test_0022_aligned.jpg,5,1
22,22,22,22,Database/basic/Image/aligned/test/test_0023_aligned.jpg,1,0
23,23,23,23,Database/basic/Image/aligned/test/test_0024_aligned.jpg,5,1
24,24,24,24,Database/basic/Image/aligned/test/test_0025_aligned.jpg,4,0
25,25,25,25,Database/basic/Image/aligned/test/test_0026_aligned.jpg,4,0
26,26,26,26,Database/basic/Image/aligned/test/test_0027_aligned.jpg,6,1
27,27,27,27,Database/basic/Image/aligned/test/test_0028_aligned.jpg,4,0
28,28,28,28,Database/basic/Image/aligned/test/test_0029_aligned.jpg,4,0
29,29,29,29,Database/basic/Image/aligned/test/test_0030_aligned.jpg,5,1
30,30,30,30,Database/basic/Image/aligned/test/test_0031_aligned.jpg,5,1
31,31,31,31,Database/basic/Image/aligned/test/test_0032_aligned.jpg,4,0
32,32,32,32,Database/basic/Image/aligned/test/test_0033_aligned.jpg,4,0
33,33,33,33,Database/basic/Image/aligned/test/test_0034_aligned.jpg,1,0
34,34,34,34,Database/basic/Image/aligned/test/test_0035_aligned.jpg,1,0
35,35,35,35,Database/basic/Image/aligned/test/test_0036_aligned.jpg,5,1
36,36,36,36,Database/basic/Image/aligned/test/test_0037_aligned.jpg,6,1
37,37,37,37,Database/basic/Image/aligned/test/test_0038_aligned.jpg,4,0
38,38,38,38,Database/basic/Image/aligned/test/test_0039_aligned.jpg,5,1
39,39,39,39,Database/basic/Image/aligned/test/test_0040_aligned.jpg,4,0
40,40,40,40,Database/basic/Image/aligned/test/test_0041_aligned.jpg,4,0
41,41,41,41,Database/basic/Image/aligned/test/test_0042_aligned.jpg,6,1
42,42,42,42,Database/basic/Image/aligned/test/test_0043_aligned.jpg,1,0
43,43,43,43,Database/basic/Image/aligned/test/test_0044_aligned.jpg,4,0
44,44,44,44,Database/basic/Image/aligned/test/test_0045_aligned.jpg,5,1
45,45,45,45,Database/basic/Image/aligned/test/test_0046_aligned.jpg,4,0
46,46,46,46,Database/basic/Image/aligned/test/test_0047_aligned.jpg,4,0
47,47,47,47,Database/basic/Image/aligned/test/test_0048_aligned.jpg,4,0
48,48,48,48,Database/basic/Image/aligned/test/test_0049_aligned.jpg,5,1
49,49,49,49,Database/basic/Image/aligned/test/test_0050_aligned.jpg,4,0
50,50,50,50,Database/basic/Image/aligned/test/test_0051_aligned.jpg,4,0
51,51,51,51,Database/basic/Image/aligned/test/test_0052_aligned.jpg,4,0
52,52,52,52,Database/basic/Image/aligned/test/test_0053_aligned.jpg,4,0
53,53,53,53,Database/basic/Image/aligned/test/test_0054_aligned.jpg,4,0
54,54,54,54,Database/basic/Image/aligned/test/test_0055_aligned.jpg,4,0
55,55,55,55,Database/basic/Image/aligned/test/test_0056_aligned.jpg,4,0
56,56,56,56,Database/basic/Image/aligned/test/test_0057_aligned.jpg,6,1
57,57,57,57,Database/basic/Image/aligned/test/test_0058_aligned.jpg,4,0
58,58,58,58,Database/basic/Image/aligned/test/test_0059_aligned.jpg,1,0
59,59,59,59,Database/basic/Image/aligned/test/test_0060_aligned.jpg,4,0
60,60,60,60,Database/basic/Image/aligned/test/test_0061_aligned.jpg,4,0
61,61,61,61,Database/basic/Image/aligned/test/test_0062_aligned.jpg,5,1
62,62,62,62,Database/basic/Image/aligned/test/test_0063_aligned.jpg,4,0
63,63,63,63,Database/basic/Image/aligned/test/test_0064_aligned.jpg,4,0
64,64,64,64,Database/basic/Image/aligned/test/test_0065_aligned.jpg,4,0
65,65,65,65,Database/basic/Image/aligned/test/test_0066_aligned.jpg,4,0
66,66,66,66,Database/basic/Image/aligned/test/test_0067_aligned.jpg,4,0
67,67,67,67,Database/basic/Image/aligned/test/test_0068_aligned.jpg,4,0
68,68,68,68,Database/basic/Image/aligned/test/test_0069_aligned.jpg,5,1
69,69,69,69,Database/basic/Image/aligned/test/test_0070_aligned.jpg,5,1
70,70,70,70,Database/basic/Image/aligned/test/test_0071_aligned.jpg,4,0
71,71,71,71,Database/basic/Image/aligned/test/test_0072_aligned.jpg,4,0
72,72,72,72,Database/basic/Image/aligned/test/test_0073_aligned.jpg,1,0
73,73,73,73,Database/basic/Image/aligned/test/test_0074_aligned.jpg,4,0
74,74,74,74,Database/basic/Image/aligned/test/test_0075_aligned.jpg,4,0
75,75,75,75,Database/basic/Image/aligned/test/test_0076_aligned.jpg,5,1
76,76,76,76,Database/basic/Image/aligned/test/test_0077_aligned.jpg,4,0
77,77,77,77,Database/basic/Image/aligned/test/test_0078_aligned.jpg,4,0
78,78,78,78,Database/basic/Image/aligned/test/test_0079_aligned.jpg,4,0
79,79,79,79,Database/basic/Image/aligned/test/test_0080_aligned.jpg,5,1
80,80,80,80,Database/basic/Image/aligned/test/test_0081_aligned.jpg,3,1
81,81,81,81,Database/basic/Image/aligned/test/test_0082_aligned.jpg,4,0
82,82,82,82,Database/basic/Image/aligned/test/test_0083_aligned.jpg,4,0
83,83,83,83,Database/basic/Image/aligned/test/test_0084_aligned.jpg,1,0
84,84,84,84,Database/basic/Image/aligned/test/test_0085_aligned.jpg,5,1
85,85,85,85,Database/basic/Image/aligned/test/test_0086_aligned.jpg,1,0
86,86,86,86,Database/basic/Image/aligned/test/test_0087_aligned.jpg,4,0
87,87,87,87,Database/basic/Image/aligned/test/test_0088_aligned.jpg,5,1
88,88,88,88,Database/basic/Image/aligned/test/test_0089_aligned.jpg,5,1
89,89,89,89,Database/basic/Image/aligned/test/test_0090_aligned.jpg,1,0
90,90,90,90,Database/basic/Image/aligned/test/test_0091_aligned.jpg,6,1
91,91,91,91,Database/basic/Image/aligned/test/test_0092_aligned.jpg,4,0
92,92,92,92,Database/basic/Image/aligned/test/test_0093_aligned.jpg,4,0
93,93,93,93,Database/basic/Image/aligned/test/test_0094_aligned.jpg,1,0
94,94,94,94,Database/basic/Image/aligned/test/test_0095_aligned.jpg,5,1
95,95,95,95,Database/basic/Image/aligned/test/test_0096_aligned.jpg,1,0
96,96,96,96,Database/basic/Image/aligned/test/test_0097_aligned.jpg,4,0
97,97,97,97,Database/basic/Image/aligned/test/test_0098_aligned.jpg,4,0
98,98,98,98,Database/basic/Image/aligned/test/test_0099_aligned.jpg,1,0
99,99,99,99,Database/basic/Image/aligned/test/test_0100_aligned.jpg,5,1
100,100,100,100,Database/basic/Image/aligned/test/test_0101_aligned.jpg,4,0
101,101,101,101,Database/basic/Image/aligned/test/test_0102_aligned.jpg,1,0
102,102,102,102,Database/basic/Image/aligned/test/test_0103_aligned.jpg,5,1
103,103,103,103,Database/basic/Image/aligned/test/test_0104_aligned.jpg,1,0
104,104,104,104,Database/basic/Image/aligned/test/test_0105_aligned.jpg,4,0
105,105,105,105,Database/basic/Image/aligned/test/test_0106_aligned.jpg,4,0
106,106,106,106,Database/basic/Image/aligned/test/test_0107_aligned.jpg,5,1
107,107,107,107,Database/basic/Image/aligned/test/test_0108_aligned.jpg,4,0
108,108,108,108,Database/basic/Image/aligned/test/test_0109_aligned.jpg,4,0
109,109,109,109,Database/basic/Image/aligned/test/test_0110_aligned.jpg,4,0
110,110,110,110,Database/basic/Image/aligned/test/test_0111_aligned.jpg,4,0
111,111,111,111,Database/basic/Image/aligned/test/test_0112_aligned.jpg,4,0
112,112,112,112,Database/basic/Image/aligned/test/test_0113_aligned.jpg,4,0
113,113,113,113,Database/basic/Image/aligned/test/test_0114_aligned.jpg,4,0
114,114,114,114,Database/basic/Image/aligned/test/test_0115_aligned.jpg,4,0
115,115,115,115,Database/basic/Image/aligned/test/test_0116_aligned.jpg,4,0
116,116,116,116,Database/basic/Image/aligned/test/test_0117_aligned.jpg,4,0
117,117,117,117,Database/basic/Image/aligned/test/test_0118_aligned.jpg,4,0
118,118,118,118,Database/basic/Image/aligned/test/test_0119_aligned.jpg,5,1
119,119,119,119,Database/basic/Image/aligned/test/test_0120_aligned.jpg,4,0
120,120,120,120,Database/basic/Image/aligned/test/test_0121_aligned.jpg,1,0
121,121,121,121,Database/basic/Image/aligned/test/test_0122_aligned.jpg,4,0
122,122,122,122,Database/basic/Image/aligned/test/test_0123_aligned.jpg,1,0
123,123,123,123,Database/basic/Image/aligned/test/test_0124_aligned.jpg,4,0
124,124,124,124,Database/basic/Image/aligned/test/test_0125_aligned.jpg,1,0
125,125,125,125,Database/basic/Image/aligned/test/test_0126_aligned.jpg,4,0
