,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Images,Label,Stress?
0,0,0,0,Database/basic/Image/aligned/train_00001_aligned.jpg,5,1
1,1,1,1,Database/basic/Image/aligned/train_00002_aligned.jpg,5,1
2,2,2,2,Database/basic/Image/aligned/train_00003_aligned.jpg,4,0
3,3,3,3,Database/basic/Image/aligned/train_00004_aligned.jpg,4,0
4,4,4,4,Database/basic/Image/aligned/train_00005_aligned.jpg,5,1
5,5,5,5,Database/basic/Image/aligned/train_00006_aligned.jpg,1,0
6,6,6,6,Database/basic/Image/aligned/train_00007_aligned.jpg,5,1
7,7,7,7,Database/basic/Image/aligned/train_00008_aligned.jpg,4,0
8,8,8,8,Database/basic/Image/aligned/train_00009_aligned.jpg,4,0
9,9,9,9,Database/basic/Image/aligned/train_00010_aligned.jpg,1,0
10,10,10,10,Database/basic/Image/aligned/train_00011_aligned.jpg,4,0
11,11,11,11,Database/basic/Image/aligned/train_00012_aligned.jpg,1,0
12,12,12,12,Database/basic/Image/aligned/train_00013_aligned.jpg,1,0
13,13,13,13,Database/basic/Image/aligned/train_00014_aligned.jpg,4,0
14,14,14,14,Database/basic/Image/aligned/train_00015_aligned.jpg,5,1
15,15,15,15,Database/basic/Image/aligned/train_00016_aligned.jpg,4,0
16,16,16,16,Database/basic/Image/aligned/train_00017_aligned.jpg,4,0
17,17,17,17,Database/basic/Image/aligned/train_00018_aligned.jpg,4,0
18,18,18,18,Database/basic/Image/aligned/train_00019_aligned.jpg,4,0
19,19,19,19,Database/basic/Image/aligned/train_00020_aligned.jpg,4,0
20,20,20,20,Database/basic/Image/aligned/train_00021_aligned.jpg,4,0
21,21,21,21,Database/basic/Image/aligned/train_00022_aligned.jpg,4,0
22,22,22,22,Database/basic/Image/aligned/train_00023_aligned.jpg,6,1
23,23,23,23,Database/basic/Image/aligned/train_00024_aligned.jpg,5,1
24,24,24,24,Database/basic/Image/aligned/train_00025_aligned.jpg,5,1
25,25,25,25,Database/basic/Image/aligned/train_00026_aligned.jpg,5,1
26,26,26,26,Database/basic/Image/aligned/train_00027_aligned.jpg,2,1
27,27,27,27,Database/basic/Image/aligned/train_00028_aligned.jpg,5,1
28,28,28,28,Database/basic/Image/aligned/train_00029_aligned.jpg,4,0
29,29,29,29,Database/basic/Image/aligned/train_00030_aligned.jpg,5,1
30,30,30,30,Database/basic/Image/aligned/train_00031_aligned.jpg,3,1
31,31,31,31,Database/basic/Image/aligned/train_00032_aligned.jpg,1,0
32,32,32,32,Database/basic/Image/aligned/train_00033_aligned.jpg,5,1
33,33,33,33,Database/basic/Image/aligned/train_00034_aligned.jpg,1,0
34,34,34,34,Database/basic/Image/aligned/train_00035_aligned.jpg,4,0
35,35,35,35,Database/basic/Image/aligned/train_00036_aligned.jpg,4,0
36,36,36,36,Database/basic/Image/aligned/train_00037_aligned.jpg,4,0
37,37,37,37,Database/basic/Image/aligned/train_00038_aligned.jpg,5,1
38,38,38,38,Database/basic/Image/aligned/train_00039_aligned.jpg,5,1
39,39,39,39,Database/basic/Image/aligned/train_00040_aligned.jpg,5,1
40,40,40,40,Database/basic/Image/aligned/train_00041_aligned.jpg,5,1
41,41,41,41,Database/basic/Image/aligned/train_00042_aligned.jpg,5,1
42,42,42,42,Database/basic/Image/aligned/train_00043_aligned.jpg,1,0
43,43,43,43,Database/basic/Image/aligned/train_00044_aligned.jpg,1,0
44,44,44,44,Database/basic/Image/aligned/train_00045_aligned.jpg,4,0
45,45,45,45,Database/basic/Image/aligned/train_00046_aligned.jpg,4,0
46,46,46,46,Database/basic/Image/aligned/train_00047_aligned.jpg,6,1
47,47,47,47,Database/basic/Image/aligned/train_00048_aligned.jpg,4,0
48,48,48,48,Database/basic/Image/aligned/train_00049_aligned.jpg,6,1
49,49,49,49,Database/basic/Image/aligned/train_00050_aligned.jpg,4,0
50,50,50,50,Database/basic/Image/aligned/train_00051_aligned.jpg,4,0
51,51,51,51,Database/basic/Image/aligned/train_00052_aligned.jpg,4,0
52,52,52,52,Database/basic/Image/aligned/train_00053_aligned.jpg,1,0
53,53,53,53,Database/basic/Image/aligned/train_00054_aligned.jpg,4,0
54,54,54,54,Database/basic/Image/aligned/train_00055_aligned.jpg,4,0
55,55,55,55,Database/basic/Image/aligned/train_00056_aligned.jpg,4,0
56,56,56,56,Database/basic/Image/aligned/train_00057_aligned.jpg,4,0
57,57,57,57,Database/basic/Image/aligned/train_00058_aligned.jpg,4,0
58,58,58,58,Database/basic/Image/aligned/train_00059_aligned.jpg,4,0
59,59,59,59,Database/basic/Image/aligned/train_00060_aligned.jpg,4,0
60,60,60,60,Database/basic/Image/aligned/train_00061_aligned.jpg,4,0
61,61,61,61,Database/basic/Image/aligned/train_00062_aligned.jpg,1,0
62,62,62,62,Database/basic/Image/aligned/train_00063_aligned.jpg,3,1
63,63,63,63,Database/basic/Image/aligned/train_00064_aligned.jpg,6,1
64,64,64,64,Database/basic/Image/aligned/train_00065_aligned.jpg,4,0
65,65,65,65,Database/basic/Image/aligned/train_00066_aligned.jpg,5,1
66,66,66,66,Database/basic/Image/aligned/train_00067_aligned.jpg,4,0
